DATA;TIME_MANDANTE;TIME_VISITANTE;VENCEDOR;PLACAR;RENDA;PUBLICO
13/05/2018;chapecoense;flamengo;chapecoense;3,2;R$ 400.565,00;10242
13/05/2018;vasco;vitoria;vitoria;2,3;R$ 81.630,00;3143
13/05/2018;atletico-pr;atletico-mg;atletico-mg;1,2;R$ 115.685,00;7505
13/05/2018;bahia;sao-paulo;empate;2,2;R$ 529.597,00;20847
13/05/2018;corinthians;palmeiras;corinthians;1,0;R$ 2.006.830,26;34967
13/05/2018;santos;parana-clube;santos;3,1;R$ 140.110,00;3971
14/05/2018;botafogo;fluminense;botafogo;2,1;R$ 250.140,00;8931
14/05/2018;ceara;america-mg;empate;2,2;R$ 84.285,00;13898
19/05/2018;atletico-mg;cruzeiro;atletico-mg;1,0;R$ 629.360,00;14595
19/05/2018;flamengo;vasco;empate;1,1;R$ 1.101.010,00;32536
19/05/2018;palmeiras;bahia;palmeiras;3,0;R$ 1.517.906,22;26351
20/05/2018;vitoria;ceara;vitoria;2,1;R$ 101.934,00;8371
20/05/2018;sao-paulo;santos;sao-paulo;1,0;R$ 954.725,00;40565
20/05/2018;parana-clube;gremio;empate;0,0;R$ 252.240,00;7776
20/05/2018;sport;corinthians;empate;1,1;R$ 593.910,00;25114
20/05/2018;america-mg;botafogo;america-mg;1,0;R$ 54.259,00;4062
20/05/2018;fluminense;atletico-pr;fluminense;2,0;R$ 238.835,00;8364
21/05/2018;internacional;chapecoense;internacional;3,0;R$ 480.225,00;13082
26/05/2018;fluminense;chapecoense;fluminense;3,1;R$ 395.375,00;13165
26/05/2018;palmeiras;sport;sport;2,3;R$ 1.506.726,18;25947
26/05/2018;atletico-mg;flamengo;flamengo;0,1;R$ 561.325,00;14840
27/05/2018;parana-clube;atletico-pr;empate;0,0;R$ 146.405,00;6446
27/05/2018;santos;cruzeiro;cruzeiro;0,1;R$ 349.730,00;8504
27/05/2018;bahia;vasco;bahia;3,0;R$ 292.051,00;15031
27/05/2018;internacional;corinthians;internacional;2,1;R$ 795.765,00;27621
27/05/2018;botafogo;vitoria;empate;1,1;R$ 129.145,00;4759
27/05/2018;ceara;gremio;gremio;0,1;R$ 128.138,00;14012
27/05/2018;america-mg;sao-paulo;sao-paulo;1,3;R$ 64.570,00;3883
30/05/2018;vitoria;internacional;internacional;2,3;R$ 52.101,00;5591
30/05/2018;vasco;parana-clube;vasco;1,0;R$ 101.875,00;4221
30/05/2018;sport;atletico-mg;sport;3,2;R$ 241.945,00;11609
30/05/2018;sao-paulo;botafogo;sao-paulo;3,2;R$ 547.988,00;25427
30/05/2018;chapecoense;ceara;chapecoense;2,0;R$ 132.850,00;18194
30/05/2018;gremio;fluminense;empate;0,0;R$ 510.968,00;18194
30/05/2018;cruzeiro;palmeiras;cruzeiro;1,0;R$ 365.112,00;16007
31/05/2018;flamengo;bahia;flamengo;2,0;R$ 1.780.859,00;50141
31/05/2018;corinthians;america-mg;corinthians;1,0;R$ 1.815.526,96;34921
31/05/2018;atletico-pr;santos;atletico-pr;2,0;R$ 181.655,00;9204
02/06/2018;atletico-mg;chapecoense;empate;3,3;R$ 173.475,00;9156
02/06/2018;internacional;sport;empate;0,0;R$ 822.680,00;27454
